Chain OUTPUT (policy ACCEPT 680075 packets, 1004423171 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  179261 119609509 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   63729 121091137            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   26014 67779993            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   35413 88441543            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   48575 92424489            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   56812 119698156            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   10537 26754700            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   38659 100396217            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
    5730 13193575            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   21314 57510521            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   60829 142157198            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
