Chain OUTPUT (policy ACCEPT 563956 packets, 816272756 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  147658 112370283 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   52520 92940431            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   18426 49584674            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   22616 52022155            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   47516 95732111            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   52923 110090893            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   14724 38893309            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   21329 51744192            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   22409 60507351            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   16392 43206155            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   31042 62857305            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
