Chain OUTPUT (policy ACCEPT 525962 packets, 807717601 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  132153 97163499 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   45403 93398398            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   21541 58361886            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   21773 53815736            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   40888 81813824            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   53063 112523172            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   20230 55729682            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   16781 37452961            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
    6637 15416278            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   23178 63277459            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   42890 96638936            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
