Chain OUTPUT (policy ACCEPT 562486 packets, 747742724 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  155949 107154023 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   59656 108427918            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   16532 43857207            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   16169 37509705            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   55320 112591176            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   46235 81424077            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   11952 30518732            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   13617 32465522            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   15013 40056199            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   10547 26757112            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   35116 75689767            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
