Chain OUTPUT (policy ACCEPT 818649 packets, 772856057 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  224536 137302918 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   52394 40272904            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   14679 35295737            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   26066 52804213            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   70256 126052548            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   48053 45979751            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
    6802 11717459            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   35513 78899586            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   11779 27642979            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
    6907 12707981            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   49971 85415654            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
