Chain INPUT (policy ACCEPT 924671 packets, 301504305 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  282039 22766316 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
  101609  7687880            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
    5266   364645            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   18438  1173587            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   64782  4697111            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   42883  3318280            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    8116   504143            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   33478  1941888            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   24154  1314095            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   29029  1574216            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   46357  3133410            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
