Chain INPUT (policy ACCEPT 609273 packets, 82577175 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  165098 13321754 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   57297  3743697            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   15614   844453            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   27862  1675989            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   52389  3593350            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   51882  3440081            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   21294  1146665            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   30102  1695685            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   13062   714202            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   21192  1125025            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   37461  2473652            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
