Chain OUTPUT (policy ACCEPT 636845 packets, 803588663 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  182854 135181564 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   49189 75948687            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   12037 30631318            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   23444 57246508            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   56496 64750719            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   51798 99051685            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   13512 34259431            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   21269 53961034            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   14022 36479154            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   22492 60698550            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   44501 96666720            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
