Chain INPUT (policy ACCEPT 539200 packets, 75087453 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  158891 12811924 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   42533  2774526            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
    1914   174129            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   23616  1351842            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   57419  3679424            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   51774  3391355            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   14123   790276            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   21820  1238673            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   13169   729227            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    6282   379563            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   39079  2533398            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
