Chain INPUT (policy ACCEPT 1188369 packets, 206850459 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  417239 35120792 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   80414  6256181            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
    5831   501971            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   35599  2350086            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   77016  5727846            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   67168  5257583            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   19904  1191271            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   13067  1195957            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   18049  1101128            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   19045  1154752            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   80584  5624160            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
