Chain INPUT (policy ACCEPT 652296 packets, 88370830 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  192565 15491849 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   62111  4069748            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   11166   625135            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   39740  2241849            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   58189  3804343            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   52207  3655934            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    1744   161968            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   35961  1956933            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    6330   374975            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   20979  1125614            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   40557  2563731            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
