Chain INPUT (policy ACCEPT 684824 packets, 95702418 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  214242 17337806 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   63152  4107900            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   24348  1307276            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   33881  1989955            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   51989  3430620            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   48971  3322631            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    2710   228910            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   29699  1699769            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    5019   329494            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    8329   518846            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   56578  3509923            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
