Chain INPUT (policy ACCEPT 669549 packets, 93866008 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  213718 17298230 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   62988  4266233            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   14587   820291            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   23080  1340894            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   62895  4083752            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   50131  3291438            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   19358  1023353            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   14708   909877            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    9643   538264            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   11375   645403            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   44445  2811315            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
