Chain INPUT (policy ACCEPT 575155 packets, 78307556 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  169102 13608111 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   63076  4212537            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   17373   935848            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   21795  1394812            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   47249  3083283            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   52564  3422441            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   13961   776368            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
    7964   524758            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   21098  1133095            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   15633   860606            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   30996  2043310            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
