Chain INPUT (policy ACCEPT 654000 packets, 92141187 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  204272 16259793 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   72429  4620923            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
    3755   254333            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   20172  1209663            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   57195  3657781            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   49615  3226514            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   11758   672429            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   32399  1855792            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   14491   807229            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   16188   900950            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   42230  2768264            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
