Chain INPUT (policy ACCEPT 574053 packets, 77464270 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  163656 13055035 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   53316  3479634            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   21566  1145945            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   28426  1581866            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   46098  3019296            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   52236  3443510            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   17867   972094            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   15963   969056            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   14477   789832            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    9703   543067            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   42640  2670663            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
