Chain OUTPUT (policy ACCEPT 593029 packets, 900165717 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  137806 102210237 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   61279 123826643            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   13765 35571462            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   35736 88764176            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   37999 68346455            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   63330 119883596            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   11521 30332618            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   31860 77816845            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   20522 56242057            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   25582 69825105            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   38454 80377712            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
