Chain OUTPUT (policy ACCEPT 627593 packets, 885151932 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  172198 125972714 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   61606 122263383            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   20829 55525095            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   19924 47663058            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   49708 95354237            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   56383 122663168            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
    7176 16771045            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   21537 51247609            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
    8603 21601013            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   21318 57733145            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   52743 114182044            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
