Chain OUTPUT (policy ACCEPT 574929 packets, 834582689 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  144247 111949233 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   58154 120146075            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   16339 42744607            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   17795 40945358            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   67107 128406004            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   59254 123018961            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   12124 31221434            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   13831 31113151            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   14069 36347520            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   12938 34183748            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   41807 85613789            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
