Chain INPUT (policy ACCEPT 642130 packets, 89339797 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  198329 15969634 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   59854  3867535            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   19153  1036830            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   19714  1180159            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   49321  3300362            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   54094  3374581            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    6777   411933            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   21045  1274706            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    7868   469544            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   19672  1055111            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   51987  3230834            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
