Chain INPUT (policy ACCEPT 930157 packets, 278098978 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  321328 26343816 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   55275  4054013            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   19633  1078783            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   20603  1403006            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   68530  4637534            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   64766  4321803            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    4702   347107            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   27604  1667588            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   24327  1329984            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   24841  1350792            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   51030  3452492            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
