Chain OUTPUT (policy ACCEPT 546854 packets, 760167743 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  149453 112825957 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   46758 86571573            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   13375 34797839            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   17122 40461505            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   36158 59268623            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   56978 101119999            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   21082 56674117            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   31019 79336240            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   12060 31462240            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   11888 30661271            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   39321 81375497            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
