Chain INPUT (policy ACCEPT 930210 packets, 170582811 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  280318 23426164 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   81073  6317056            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   24069  1402331            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   29617  2014249            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   67860  5136167            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   83368  6055001            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    4776   456908            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   15619  1156746            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   17113  1035283            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    4422   416544            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   46668  3685527            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
