Chain INPUT (policy ACCEPT 616631 packets, 87646784 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  201838 16462324 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   59517  3943476            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   11647   649922            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   15894   980387            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   53348  3461597            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   44778  3004214            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   14518   783775            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   27464  1539200            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   16169   876526            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    1712   158803            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   34501  2143051            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
