Chain OUTPUT (policy ACCEPT 823686 packets, 800086360 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  305620 156277909 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   46957 71081404            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   10953 26954197            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   34251 85055771            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   35035 53746710            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   51999 91436148            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   19607 52070729            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   17911 35058067            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   18780 48774670            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   15464 40003048            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   31408 51203929            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
