Chain OUTPUT (policy ACCEPT 612900 packets, 784833474 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  184284 114559137 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   40177 63876517            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   11745 30356191            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   23389 56577717            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   45594 86260937            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   51621 92151374            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   15563 40704449            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   21304 54889823            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   12729 33084870            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   22867 59025912            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   44463 99177495            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
