Chain INPUT (policy ACCEPT 541441 packets, 79144928 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  177924 14466076 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   44303  2928314            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   20491  1085424            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   13424   835754            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   34576  2382509            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   38882  2675390            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   12206   671398            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   15680   979365            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    8320   472758            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   12585   694302            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   41640  2726243            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
