Chain OUTPUT (policy ACCEPT 521243 packets, 663205773 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  153775 99742538 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   43843 81793313            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   21871 60072072            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   13602 31111385            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   34288 60454171            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   37808 66293343            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   13323 35512116            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   15835 36332473            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
    9080 23326520            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   13070 34136380            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   41632 85194081            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
