Chain INPUT (policy ACCEPT 550454 packets, 93556966 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  183971 14956478 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   39939  3042118            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
    2749   261181            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   20209  1363127            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   45595  3418050            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   50847  3727916            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    2876   274713            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   13531   998482            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    3989   313546            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    2955   279606            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   33063  2652668            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
