Chain INPUT (policy ACCEPT 543779 packets, 77780040 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  176982 14210147 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   53373  3557946            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
    1335   126744            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   19590  1154007            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   44495  2978289            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   55050  3497562            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   11477   643462            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   17744  1000308            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   11895   649681            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    2542   197205            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   36859  2382953            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
