Chain INPUT (policy ACCEPT 560908 packets, 78666417 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  173289 13856949 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   57380  3868097            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
    2924   208781            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   25462  1475055            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   45092  2970153            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   48663  3128816            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   14232   772903            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   23003  1283199            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   11073   618970            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    4717   297301            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   43389  2697117            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
