Chain INPUT (policy ACCEPT 580357 packets, 82563147 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  189898 15248526 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   52428  3419199            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   24209  1288726            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   17316  1044661            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   38582  2482965            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   52993  3466579            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   10363   594049            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   19574  1176648            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    1482   142659            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   12694   710517            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   40552  2590849            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
