Chain INPUT (policy ACCEPT 631606 packets, 89700897 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  210676 17263412 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   34007  2556205            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   11273   639812            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   22869  1368949            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   45543  3126109            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   52645  3627303            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   14492   809013            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   20464  1164734            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   12203   689486            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   20789  1132929            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   49504  3163698            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
