Chain INPUT (policy ACCEPT 538941 packets, 70539549 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  139686 11122086 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   55935  3581273            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   10290   595313            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   31159  1739784            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   44103  2945987            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   47235  3104472            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    1898   174428            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   38911  2161364            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    9198   524645            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   21091  1143671            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   43848  2775872            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
