Chain INPUT (policy ACCEPT 876114 packets, 167195584 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  264033 22902953 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
   64482  5507375            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   14282   872101            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   26152  1810327            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   72633  5194018            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
   54935  4591522            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
    7146   552322            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   31097  1918371            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
   11567   726330            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
    7411   532701            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   52449  3833643            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
