Chain INPUT (policy ACCEPT 1210942 packets, 231597977 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  343310 29748179 IN         all  --  db0zb-db0taw *       0.0.0.0/0            0.0.0.0/0           
  106652  8267530            all  --  db0zb-db0uc *       0.0.0.0/0            0.0.0.0/0           
   14399   989367            all  --  db0zb-db0yq *       0.0.0.0/0            0.0.0.0/0           
   34546  2471059            all  --  db0zb-db0jgk *       0.0.0.0/0            0.0.0.0/0           
   87418  6829316            all  --  db0zb-db0hhb *       0.0.0.0/0            0.0.0.0/0           
  105565  7822916            all  --  db0zb-db0hbg *       0.0.0.0/0            0.0.0.0/0           
   14964  1058750            all  --  db0zb-db0hof *       0.0.0.0/0            0.0.0.0/0           
   30083  2290016            all  --  db0zb-db0bt *       0.0.0.0/0            0.0.0.0/0           
    6062   579277            all  --  db0zb-db0zw *       0.0.0.0/0            0.0.0.0/0           
   18691  1212183            all  --  db0zb-db0mak *       0.0.0.0/0            0.0.0.0/0           
   65942  5025319            all  --  db0zb-db0vox *       0.0.0.0/0            0.0.0.0/0           
