Chain OUTPUT (policy ACCEPT 561625 packets, 845310716 bytes)
    pkts      bytes target     prot opt in     out     source               destination         
  143110 109950960 OUT        all  --  *      db0zb-db0taw  0.0.0.0/0            0.0.0.0/0           
   52061 101273569            all  --  *      db0zb-db0uc  0.0.0.0/0            0.0.0.0/0           
   23029 62742898            all  --  *      db0zb-db0yq  0.0.0.0/0            0.0.0.0/0           
   31357 82077100            all  --  *      db0zb-db0jgk  0.0.0.0/0            0.0.0.0/0           
   47106 96253823            all  --  *      db0zb-db0hhb  0.0.0.0/0            0.0.0.0/0           
   51102 98539000            all  --  *      db0zb-db0hbg  0.0.0.0/0            0.0.0.0/0           
   19161 50963913            all  --  *      db0zb-db0hof  0.0.0.0/0            0.0.0.0/0           
   16418 38022299            all  --  *      db0zb-db0bt  0.0.0.0/0            0.0.0.0/0           
   15057 39881782            all  --  *      db0zb-db0zw  0.0.0.0/0            0.0.0.0/0           
   10287 26656202            all  --  *      db0zb-db0mak  0.0.0.0/0            0.0.0.0/0           
   43584 93148118            all  --  *      db0zb-db0vox  0.0.0.0/0            0.0.0.0/0           
